genome,gen_annot,motif_source,type,range,url
hg38,refseq_r80,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc9nr/gene_based/hg38__refseq-r80__10kb_up_and_down_tss.mc9nr.genes_vs_motifs.rankings.feather
hg38,refseq_r80,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc9nr/gene_based/hg38__refseq-r80__500bp_up_and_100bp_down_tss.mc9nr.genes_vs_motifs.rankings.feather
hg38,refseq_r80,mc_v10_clust,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather
hg38,refseq_r80,mc_v10_clust,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.scores.feather
hg38,refseq_r80,mc_v10_clust,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.rankings.feather
hg38,refseq_r80,mc_v10_clust,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/mc_v10_clust/gene_based/hg38_500bp_up_100bp_down_full_tx_v10_clust.genes_vs_motifs.scores.feather
hg38,refseq_r80,tc_v1,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/tc_v1/gene_based/encode_20190621__ChIP_seq_transcription_factor.hg38__refseq-r80__10kb_up_and_down_tss.max.genes_vs_tracks.rankings.feather
hg38,refseq_r80,tc_v1,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg38/refseq_r80/tc_v1/gene_based/encode_20190621__ChIP_seq_transcription_factor.hg38__refseq-r80__500bp_up_and_100bp_down_tss.max.genes_vs_tracks.rankings.feather
hg19,refseq_r45,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/mc9nr/gene_based/hg19-500bp-upstream-7species.mc9nr.genes_vs_motifs.rankings.feather
hg19,refseq_r45,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/mc9nr/gene_based/hg19-500bp-upstream-10species.mc9nr.genes_vs_motifs.rankings.feather
hg19,refseq_r45,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/mc9nr/gene_based/hg19-tss-centered-5kb-7species.mc9nr.genes_vs_motifs.rankings.feather
hg19,refseq_r45,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/mc9nr/gene_based/hg19-tss-centered-5kb-10species.mc9nr.genes_vs_motifs.rankings.feather
hg19,refseq_r45,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/mc9nr/gene_based/hg19-tss-centered-10kb-7species.mc9nr.genes_vs_motifs.rankings.feather
hg19,refseq_r45,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/mc9nr/gene_based/hg19-tss-centered-10kb-10species.mc9nr.genes_vs_motifs.rankings.feather
hg19,refseq_r45,tc_v1,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/tc_v1/gene_based/encode_20160128__inhouse_20200116__taipale_20130924__ChIP_seq_transcription_factor.hg19-500bp-upstream.max.genes_vs_tracks.rankings.feather
hg19,refseq_r45,tc_v1,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/tc_v1/gene_based/encode_20160128__inhouse_20200116__taipale_20130924__ChIP_seq_transcription_factor.hg19-tss-centered-5kb.max.genes_vs_tracks.rankings.feather
hg19,refseq_r45,tc_v1,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/tc_v1/gene_based/encode_20160128__inhouse_20200116__taipale_20130924__ChIP_seq_transcription_factor.hg19-tss-centered-10kb.max.genes_vs_tracks.rankings.feather
hg19,refseq_r45,tc_v1,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/tc_v1/gene_based/encode_20190621__ChIP_seq_transcription_factor.hg19-500bp-upstream.max.genes_vs_tracks.rankings.feather
hg19,refseq_r45,tc_v1,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/tc_v1/gene_based/encode_20190621__ChIP_seq_transcription_factor.hg19-tss-centered-5kb.max.genes_vs_tracks.rankings.feather
hg19,refseq_r45,tc_v1,gene_based,D,https://resources.aertslab.org/cistarget/databases/homo_sapiens/hg19/refseq_r45/tc_v1/gene_based/encode_20190621__ChIP_seq_transcription_factor.hg19-tss-centered-10kb.max.genes_vs_tracks.rankings.feather
mm9,refseq_r45,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/mus_musculus/mm9/refseq_r45/mc9nr/gene_based/mm9-500bp-upstream-7species.mc9nr.genes_vs_motifs.rankings.feather
mm9,refseq_r45,mc9nr,gene_based,D,https://resources.aertslab.org/cistarget/databases/mus_musculus/mm9/refseq_r45/mc9nr/gene_based/mm9-500bp-upstream-10species.mc9nr.genes_vs_motifs.rankings.feather
